instant,dteday,season,year,month,hour,is_holiday,weekday,is_workingday,weather_cond,temperature,feeling_temperature,humidity,windspeed,casual,registered,total_count,time_of_day,temp_category,weather_daily
5719,2011-08-31,Fall,2011,August,17,0,3,1,Clear/Partly Cloudy,0.72,0.6515,0.45,0.1343,83,525,608,Evening,Hot,Clear/Partly Cloudy
5720,2011-08-31,Fall,2011,August,18,0,3,1,Clear/Partly Cloudy,0.7,0.6515,0.51,0.2239,70,495,565,Evening,Hot,Clear/Partly Cloudy
5721,2011-08-31,Fall,2011,August,19,0,3,1,Clear/Partly Cloudy,0.84,0.7727,0.47,0.2537,53,393,446,Evening,Hot,Clear/Partly Cloudy
5722,2011-08-31,Fall,2011,August,20,0,3,1,Clear/Partly Cloudy,0.66,0.6212,0.57,0.1343,30,259,289,Evening,Hot,Clear/Partly Cloudy
5723,2011-08-31,Fall,2011,August,21,0,3,1,Clear/Partly Cloudy,0.66,0.6212,0.61,0.0896,27,174,201,Evening,Hot,Clear/Partly Cloudy
5724,2011-08-31,Fall,2011,August,22,0,3,1,Clear/Partly Cloudy,0.64,0.6061,0.69,0.0,20,137,157,Evening,Hot,Clear/Partly Cloudy
5725,2011-08-31,Fall,2011,August,23,0,3,1,Clear/Partly Cloudy,0.6,0.5758,0.78,0.1045,24,60,84,Evening,Hot,Clear/Partly Cloudy
5726,2011-09-01,Fall,2011,September,0,0,4,1,Clear/Partly Cloudy,0.6,0.5758,0.78,0.1045,18,33,51,Morning,Hot,Clear/Partly Cloudy
5727,2011-09-01,Fall,2011,September,1,0,4,1,Clear/Partly Cloudy,0.6,0.5909,0.73,0.0896,7,14,21,Morning,Hot,Clear/Partly Cloudy
5728,2011-09-01,Fall,2011,September,2,0,4,1,Clear/Partly Cloudy,0.58,0.5455,0.78,0.0896,14,11,25,Morning,Hot,Clear/Partly Cloudy
5729,2011-09-01,Fall,2011,September,3,0,4,1,Clear/Partly Cloudy,0.58,0.5455,0.78,0.0896,7,7,14,Morning,Hot,Clear/Partly Cloudy
5730,2011-09-01,Fall,2011,September,4,0,4,1,Clear/Partly Cloudy,0.56,0.5303,0.83,0.0896,0,7,7,Morning,Hot,Clear/Partly Cloudy
5731,2011-09-01,Fall,2011,September,5,0,4,1,Clear/Partly Cloudy,0.56,0.5303,0.73,0.0896,1,22,23,Morning,Hot,Clear/Partly Cloudy
5732,2011-09-01,Fall,2011,September,6,0,4,1,Clear/Partly Cloudy,0.6,0.5758,0.78,0.0,2,103,105,Morning,Hot,Clear/Partly Cloudy
5733,2011-09-01,Fall,2011,September,7,0,4,1,Clear/Partly Cloudy,0.6,0.5758,0.78,0.0,7,335,342,Morning,Hot,Clear/Partly Cloudy
5734,2011-09-01,Fall,2011,September,8,0,4,1,Clear/Partly Cloudy,0.62,0.5909,0.73,0.1343,31,467,498,Morning,Hot,Clear/Partly Cloudy
5735,2011-09-01,Fall,2011,September,9,0,4,1,Clear/Partly Cloudy,0.64,0.6061,0.69,0.1045,29,178,207,Morning,Hot,Clear/Partly Cloudy
5736,2011-09-01,Fall,2011,September,10,0,4,1,Clear/Partly Cloudy,0.68,0.6364,0.61,0.1343,46,92,138,Morning,Hot,Clear/Partly Cloudy
5737,2011-09-01,Fall,2011,September,11,0,4,1,Clear/Partly Cloudy,0.72,0.6667,0.51,0.1343,51,141,192,Morning,Hot,Clear/Partly Cloudy
5738,2011-09-01,Fall,2011,September,12,0,4,1,Misty/Cloudy,0.72,0.6667,0.51,0.1343,64,165,229,Afternoon,Hot,Clear/Partly Cloudy
5739,2011-09-01,Fall,2011,September,13,0,4,1,Misty/Cloudy,0.72,0.6667,0.48,0.0896,50,169,219,Afternoon,Hot,Clear/Partly Cloudy
5740,2011-09-01,Fall,2011,September,14,0,4,1,Light Snow/Rain,0.72,0.6667,0.54,0.2537,54,144,198,Afternoon,Hot,Clear/Partly Cloudy
5741,2011-09-01,Fall,2011,September,15,0,4,1,Clear/Partly Cloudy,0.72,0.6667,0.51,0.1343,39,135,174,Afternoon,Hot,Clear/Partly Cloudy
5742,2011-09-01,Fall,2011,September,16,0,4,1,Clear/Partly Cloudy,0.74,0.6667,0.51,0.194,55,253,308,Afternoon,Hot,Clear/Partly Cloudy
5743,2011-09-01,Fall,2011,September,17,0,4,1,Clear/Partly Cloudy,0.72,0.6667,0.54,0.2537,61,567,628,Evening,Hot,Clear/Partly Cloudy
5744,2011-09-01,Fall,2011,September,18,0,4,1,Clear/Partly Cloudy,0.72,0.6667,0.54,0.2239,69,462,531,Evening,Hot,Clear/Partly Cloudy
5745,2011-09-01,Fall,2011,September,19,0,4,1,Clear/Partly Cloudy,0.7,0.6515,0.58,0.1642,79,364,443,Evening,Hot,Clear/Partly Cloudy
5746,2011-09-01,Fall,2011,September,20,0,4,1,Clear/Partly Cloudy,0.66,0.6212,0.61,0.2239,33,247,280,Evening,Hot,Clear/Partly Cloudy
5747,2011-09-01,Fall,2011,September,21,0,4,1,Misty/Cloudy,0.66,0.6212,0.57,0.194,17,160,177,Evening,Hot,Clear/Partly Cloudy
5748,2011-09-01,Fall,2011,September,22,0,4,1,Misty/Cloudy,0.66,0.6212,0.57,0.2239,34,145,179,Evening,Hot,Clear/Partly Cloudy
5749,2011-09-01,Fall,2011,September,23,0,4,1,Clear/Partly Cloudy,0.64,0.6061,0.65,0.2537,15,111,126,Evening,Hot,Clear/Partly Cloudy
5750,2011-09-02,Fall,2011,September,0,0,5,1,Clear/Partly Cloudy,0.64,0.6061,0.65,0.194,6,58,64,Morning,Hot,Misty/Cloudy
5751,2011-09-02,Fall,2011,September,1,0,5,1,Light Snow/Rain,0.62,0.5909,0.73,0.1045,4,28,32,Morning,Hot,Misty/Cloudy
5752,2011-09-02,Fall,2011,September,2,0,5,1,Light Snow/Rain,0.62,0.5909,0.73,0.1045,9,11,20,Morning,Hot,Misty/Cloudy
5753,2011-09-02,Fall,2011,September,3,0,5,1,Misty/Cloudy,0.6,0.5606,0.83,0.1642,4,4,8,Morning,Hot,Misty/Cloudy
5754,2011-09-02,Fall,2011,September,4,0,5,1,Clear/Partly Cloudy,0.6,0.5606,0.83,0.0896,2,2,4,Morning,Hot,Misty/Cloudy
5755,2011-09-02,Fall,2011,September,5,0,5,1,Misty/Cloudy,0.6,0.5606,0.83,0.1343,0,20,20,Morning,Hot,Misty/Cloudy
5756,2011-09-02,Fall,2011,September,6,0,5,1,Clear/Partly Cloudy,0.6,0.5606,0.83,0.1343,3,73,76,Morning,Hot,Misty/Cloudy
5757,2011-09-02,Fall,2011,September,7,0,5,1,Clear/Partly Cloudy,0.6,0.5606,0.83,0.1045,6,253,259,Morning,Hot,Misty/Cloudy
5758,2011-09-02,Fall,2011,September,8,0,5,1,Clear/Partly Cloudy,0.62,0.5909,0.78,0.194,22,434,456,Morning,Hot,Misty/Cloudy
5759,2011-09-02,Fall,2011,September,9,0,5,1,Misty/Cloudy,0.62,0.5758,0.83,0.1045,30,190,220,Morning,Hot,Misty/Cloudy
5760,2011-09-02,Fall,2011,September,10,0,5,1,Misty/Cloudy,0.64,0.6061,0.76,0.1642,34,106,140,Morning,Hot,Misty/Cloudy
5761,2011-09-02,Fall,2011,September,11,0,5,1,Misty/Cloudy,0.66,0.6212,0.74,0.1045,51,141,192,Morning,Hot,Misty/Cloudy
5762,2011-09-02,Fall,2011,September,12,0,5,1,Misty/Cloudy,0.66,0.6212,0.69,0.2239,82,178,260,Afternoon,Hot,Misty/Cloudy
5763,2011-09-02,Fall,2011,September,13,0,5,1,Misty/Cloudy,0.68,0.6364,0.65,0.1343,72,207,279,Afternoon,Hot,Misty/Cloudy
5764,2011-09-02,Fall,2011,September,14,0,5,1,Misty/Cloudy,0.7,0.6515,0.61,0.1045,75,208,283,Afternoon,Hot,Misty/Cloudy
5765,2011-09-02,Fall,2011,September,15,0,5,1,Misty/Cloudy,0.7,0.6515,0.61,0.2537,69,277,346,Afternoon,Hot,Misty/Cloudy
5766,2011-09-02,Fall,2011,September,16,0,5,1,Misty/Cloudy,0.7,0.6515,0.61,0.1343,82,299,381,Afternoon,Hot,Misty/Cloudy
5767,2011-09-02,Fall,2011,September,17,0,5,1,Misty/Cloudy,0.68,0.6364,0.65,0.1642,78,377,455,Evening,Hot,Misty/Cloudy
5768,2011-09-02,Fall,2011,September,18,0,5,1,Misty/Cloudy,0.68,0.6364,0.65,0.194,50,305,355,Evening,Hot,Misty/Cloudy
5769,2011-09-02,Fall,2011,September,19,0,5,1,Clear/Partly Cloudy,0.66,0.6212,0.69,0.1343,67,220,287,Evening,Hot,Misty/Cloudy
5770,2011-09-02,Fall,2011,September,20,0,5,1,Clear/Partly Cloudy,0.64,0.6061,0.73,0.0,38,158,196,Evening,Hot,Misty/Cloudy
5771,2011-09-02,Fall,2011,September,21,0,5,1,Misty/Cloudy,0.64,0.6061,0.73,0.0896,28,121,149,Evening,Hot,Misty/Cloudy
5772,2011-09-02,Fall,2011,September,22,0,5,1,Misty/Cloudy,0.64,0.6061,0.73,0.1642,33,114,147,Evening,Hot,Misty/Cloudy
5773,2011-09-02,Fall,2011,September,23,0,5,1,Misty/Cloudy,0.64,0.6061,0.73,0.1642,30,68,98,Evening,Hot,Misty/Cloudy
5774,2011-09-03,Fall,2011,September,0,0,6,0,Misty/Cloudy,0.64,0.6061,0.73,0.1045,22,65,87,Morning,Hot,Clear/Partly Cloudy
5775,2011-09-03,Fall,2011,September,1,0,6,0,Misty/Cloudy,0.64,0.6061,0.69,0.2537,17,57,74,Morning,Hot,Clear/Partly Cloudy
5776,2011-09-03,Fall,2011,September,2,0,6,0,Misty/Cloudy,0.64,0.6061,0.69,0.2239,15,26,41,Morning,Hot,Clear/Partly Cloudy
5777,2011-09-03,Fall,2011,September,3,0,6,0,Clear/Partly Cloudy,0.62,0.5909,0.73,0.1642,17,18,35,Morning,Hot,Clear/Partly Cloudy
5778,2011-09-03,Fall,2011,September,4,0,6,0,Clear/Partly Cloudy,0.62,0.5909,0.73,0.1642,3,4,7,Morning,Hot,Clear/Partly Cloudy
5779,2011-09-03,Fall,2011,September,5,0,6,0,Clear/Partly Cloudy,0.62,0.6061,0.69,0.194,3,9,12,Morning,Hot,Clear/Partly Cloudy
5780,2011-09-03,Fall,2011,September,6,0,6,0,Clear/Partly Cloudy,0.62,0.5909,0.73,0.1642,4,19,23,Morning,Hot,Clear/Partly Cloudy
5781,2011-09-03,Fall,2011,September,7,0,6,0,Clear/Partly Cloudy,0.62,0.5909,0.73,0.194,5,33,38,Morning,Hot,Clear/Partly Cloudy
5782,2011-09-03,Fall,2011,September,8,0,6,0,Clear/Partly Cloudy,0.64,0.6061,0.69,0.1642,24,65,89,Morning,Hot,Clear/Partly Cloudy
5783,2011-09-03,Fall,2011,September,9,0,6,0,Misty/Cloudy,0.66,0.6212,0.69,0.2537,83,118,201,Morning,Hot,Clear/Partly Cloudy
5784,2011-09-03,Fall,2011,September,10,0,6,0,Light Snow/Rain,0.66,0.6212,0.65,0.2537,90,168,258,Morning,Hot,Clear/Partly Cloudy
5785,2011-09-03,Fall,2011,September,11,0,6,0,Light Snow/Rain,0.66,0.6212,0.69,0.2836,66,128,194,Morning,Hot,Clear/Partly Cloudy
5786,2011-09-03,Fall,2011,September,12,0,6,0,Clear/Partly Cloudy,0.7,0.6515,0.61,0.2239,97,160,257,Afternoon,Hot,Clear/Partly Cloudy
5787,2011-09-03,Fall,2011,September,13,0,6,0,Clear/Partly Cloudy,0.7,0.6515,0.65,0.2239,153,200,353,Afternoon,Hot,Clear/Partly Cloudy
5788,2011-09-03,Fall,2011,September,14,0,6,0,Misty/Cloudy,0.72,0.6818,0.66,0.1642,204,176,380,Afternoon,Hot,Clear/Partly Cloudy
5789,2011-09-03,Fall,2011,September,15,0,6,0,Clear/Partly Cloudy,0.72,0.6818,0.7,0.1642,187,201,388,Afternoon,Hot,Clear/Partly Cloudy
5790,2011-09-03,Fall,2011,September,16,0,6,0,Clear/Partly Cloudy,0.72,0.6818,0.7,0.194,186,188,374,Afternoon,Hot,Clear/Partly Cloudy
5791,2011-09-03,Fall,2011,September,17,0,6,0,Clear/Partly Cloudy,0.72,0.6818,0.7,0.2239,170,201,371,Evening,Hot,Clear/Partly Cloudy
5792,2011-09-03,Fall,2011,September,18,0,6,0,Clear/Partly Cloudy,0.72,0.6818,0.7,0.1642,160,179,339,Evening,Hot,Clear/Partly Cloudy
5793,2011-09-03,Fall,2011,September,19,0,6,0,Clear/Partly Cloudy,0.7,0.6667,0.74,0.1343,147,148,295,Evening,Hot,Clear/Partly Cloudy
5794,2011-09-03,Fall,2011,September,20,0,6,0,Clear/Partly Cloudy,0.7,0.6667,0.79,0.1642,99,120,219,Evening,Hot,Clear/Partly Cloudy
5795,2011-09-03,Fall,2011,September,21,0,6,0,Clear/Partly Cloudy,0.68,0.6364,0.83,0.1343,71,93,164,Evening,Hot,Clear/Partly Cloudy
5796,2011-09-03,Fall,2011,September,22,0,6,0,Clear/Partly Cloudy,0.68,0.6364,0.83,0.1045,66,96,162,Evening,Hot,Clear/Partly Cloudy
5797,2011-09-03,Fall,2011,September,23,0,6,0,Clear/Partly Cloudy,0.66,0.6212,0.85,0.1343,46,77,123,Evening,Hot,Clear/Partly Cloudy
5798,2011-09-04,Fall,2011,September,0,0,0,0,Clear/Partly Cloudy,0.66,0.5909,0.89,0.194,33,76,109,Morning,Hot,Clear/Partly Cloudy
5799,2011-09-04,Fall,2011,September,1,0,0,0,Clear/Partly Cloudy,0.66,0.6061,0.83,0.1343,37,38,75,Morning,Hot,Clear/Partly Cloudy
5800,2011-09-04,Fall,2011,September,2,0,0,0,Clear/Partly Cloudy,0.66,0.6061,0.83,0.194,17,43,60,Morning,Hot,Clear/Partly Cloudy
5801,2011-09-04,Fall,2011,September,3,0,0,0,Clear/Partly Cloudy,0.64,0.5758,0.89,0.194,20,23,43,Morning,Hot,Clear/Partly Cloudy
5802,2011-09-04,Fall,2011,September,4,0,0,0,Clear/Partly Cloudy,0.64,0.5758,0.83,0.1642,0,4,4,Morning,Hot,Clear/Partly Cloudy
5803,2011-09-04,Fall,2011,September,5,0,0,0,Clear/Partly Cloudy,0.64,0.5758,0.83,0.1343,1,5,6,Morning,Hot,Clear/Partly Cloudy
5804,2011-09-04,Fall,2011,September,6,0,0,0,Clear/Partly Cloudy,0.64,0.5758,0.84,0.2239,0,3,3,Morning,Hot,Clear/Partly Cloudy
5805,2011-09-04,Fall,2011,September,7,0,0,0,Clear/Partly Cloudy,0.66,0.6061,0.78,0.194,10,20,30,Morning,Hot,Clear/Partly Cloudy
5806,2011-09-04,Fall,2011,September,8,0,0,0,Clear/Partly Cloudy,0.66,0.6061,0.78,0.1642,21,49,70,Morning,Hot,Clear/Partly Cloudy
5807,2011-09-04,Fall,2011,September,9,0,0,0,Clear/Partly Cloudy,0.66,0.6061,0.78,0.1642,87,102,189,Morning,Hot,Clear/Partly Cloudy
5808,2011-09-04,Fall,2011,September,10,0,0,0,Clear/Partly Cloudy,0.7,0.6667,0.74,0.1343,150,147,297,Morning,Hot,Clear/Partly Cloudy
5809,2011-09-04,Fall,2011,September,11,0,0,0,Clear/Partly Cloudy,0.74,0.697,0.7,0.1642,174,163,337,Morning,Hot,Clear/Partly Cloudy
5810,2011-09-04,Fall,2011,September,12,0,0,0,Clear/Partly Cloudy,0.76,0.7273,0.66,0.1642,214,221,435,Afternoon,Hot,Clear/Partly Cloudy
5811,2011-09-04,Fall,2011,September,13,0,0,0,Misty/Cloudy,0.78,0.7424,0.62,0.2836,245,174,419,Afternoon,Hot,Clear/Partly Cloudy
5812,2011-09-04,Fall,2011,September,14,0,0,0,Clear/Partly Cloudy,0.78,0.7576,0.66,0.3284,205,156,361,Afternoon,Hot,Clear/Partly Cloudy
5813,2011-09-04,Fall,2011,September,15,0,0,0,Clear/Partly Cloudy,0.78,0.7576,0.66,0.2836,218,192,410,Afternoon,Hot,Clear/Partly Cloudy
5814,2011-09-04,Fall,2011,September,16,0,0,0,Clear/Partly Cloudy,0.8,0.7727,0.59,0.2239,196,141,337,Afternoon,Hot,Clear/Partly Cloudy
5815,2011-09-04,Fall,2011,September,17,0,0,0,Clear/Partly Cloudy,0.76,0.7273,0.66,0.2239,204,172,376,Evening,Hot,Clear/Partly Cloudy
5816,2011-09-04,Fall,2011,September,18,0,0,0,Clear/Partly Cloudy,0.76,0.7273,0.66,0.194,187,169,356,Evening,Hot,Clear/Partly Cloudy
5817,2011-09-04,Fall,2011,September,19,0,0,0,Clear/Partly Cloudy,0.74,0.697,0.7,0.194,178,150,328,Evening,Hot,Clear/Partly Cloudy
5818,2011-09-04,Fall,2011,September,20,0,0,0,Clear/Partly Cloudy,0.74,0.697,0.7,0.2985,104,125,229,Evening,Hot,Clear/Partly Cloudy
5819,2011-09-04,Fall,2011,September,21,0,0,0,Clear/Partly Cloudy,0.72,0.697,0.74,0.2537,104,103,207,Evening,Hot,Clear/Partly Cloudy
5820,2011-09-04,Fall,2011,September,22,0,0,0,Misty/Cloudy,0.72,0.697,0.74,0.2836,70,85,155,Evening,Hot,Clear/Partly Cloudy
5821,2011-09-04,Fall,2011,September,23,0,0,0,Misty/Cloudy,0.72,0.6818,0.7,0.1642,46,58,104,Evening,Hot,Clear/Partly Cloudy
5822,2011-09-05,Fall,2011,September,0,1,1,0,Misty/Cloudy,0.7,0.6667,0.74,0.2239,31,66,97,Morning,Hot,Misty/Cloudy
5823,2011-09-05,Fall,2011,September,1,1,1,0,Misty/Cloudy,0.68,0.6364,0.79,0.1045,19,35,54,Morning,Hot,Misty/Cloudy
5824,2011-09-05,Fall,2011,September,2,1,1,0,Misty/Cloudy,0.68,0.6364,0.79,0.1642,17,22,39,Morning,Hot,Misty/Cloudy
5825,2011-09-05,Fall,2011,September,3,1,1,0,Misty/Cloudy,0.68,0.6364,0.74,0.2985,4,12,16,Morning,Hot,Misty/Cloudy
5826,2011-09-05,Fall,2011,September,4,1,1,0,Misty/Cloudy,0.68,0.6364,0.69,0.2836,3,5,8,Morning,Hot,Misty/Cloudy
5827,2011-09-05,Fall,2011,September,5,1,1,0,Misty/Cloudy,0.66,0.6212,0.74,0.1642,2,4,6,Morning,Hot,Misty/Cloudy
5828,2011-09-05,Fall,2011,September,6,1,1,0,Misty/Cloudy,0.66,0.6212,0.74,0.1343,6,5,11,Morning,Hot,Misty/Cloudy
5829,2011-09-05,Fall,2011,September,7,1,1,0,Clear/Partly Cloudy,0.66,0.6212,0.74,0.1642,11,30,41,Morning,Hot,Misty/Cloudy
5830,2011-09-05,Fall,2011,September,8,1,1,0,Misty/Cloudy,0.66,0.6061,0.78,0.194,45,56,101,Morning,Hot,Misty/Cloudy
5831,2011-09-05,Fall,2011,September,9,1,1,0,Light Snow/Rain,0.68,0.6364,0.74,0.1642,63,89,152,Morning,Hot,Misty/Cloudy
5832,2011-09-05,Fall,2011,September,10,1,1,0,Misty/Cloudy,0.7,0.6515,0.7,0.1642,107,137,244,Morning,Hot,Misty/Cloudy
5833,2011-09-05,Fall,2011,September,11,1,1,0,Misty/Cloudy,0.7,0.6667,0.74,0.1642,101,207,308,Morning,Hot,Misty/Cloudy
5834,2011-09-05,Fall,2011,September,12,1,1,0,Misty/Cloudy,0.72,0.6818,0.7,0.194,141,212,353,Afternoon,Hot,Misty/Cloudy
5835,2011-09-05,Fall,2011,September,13,1,1,0,Misty/Cloudy,0.74,0.697,0.7,0.1343,154,235,389,Afternoon,Hot,Misty/Cloudy
5836,2011-09-05,Fall,2011,September,14,1,1,0,Clear/Partly Cloudy,0.74,0.697,0.7,0.1642,145,212,357,Afternoon,Hot,Misty/Cloudy
5837,2011-09-05,Fall,2011,September,15,1,1,0,Misty/Cloudy,0.68,0.6364,0.79,0.2836,111,142,253,Afternoon,Hot,Misty/Cloudy
5838,2011-09-05,Fall,2011,September,16,1,1,0,Misty/Cloudy,0.68,0.6364,0.79,0.2836,92,192,284,Afternoon,Hot,Misty/Cloudy
5839,2011-09-05,Fall,2011,September,17,1,1,0,Misty/Cloudy,0.66,0.5909,0.89,0.1045,37,77,114,Evening,Hot,Misty/Cloudy
5840,2011-09-05,Fall,2011,September,18,1,1,0,Clear/Partly Cloudy,0.66,0.5909,0.89,0.0896,31,92,123,Evening,Hot,Misty/Cloudy
5841,2011-09-05,Fall,2011,September,19,1,1,0,Light Snow/Rain,0.66,0.5909,0.94,0.1045,52,123,175,Evening,Hot,Misty/Cloudy
5842,2011-09-05,Fall,2011,September,20,1,1,0,Light Snow/Rain,0.66,0.5909,0.94,0.2537,26,56,82,Evening,Hot,Misty/Cloudy
5843,2011-09-05,Fall,2011,September,21,1,1,0,Misty/Cloudy,0.66,0.5909,0.94,0.2985,20,40,60,Evening,Hot,Misty/Cloudy
5844,2011-09-05,Fall,2011,September,22,1,1,0,Misty/Cloudy,0.6,0.5455,0.88,0.5821,15,49,64,Evening,Hot,Misty/Cloudy
5845,2011-09-05,Fall,2011,September,23,1,1,0,Light Snow/Rain,0.56,0.5303,0.88,0.3881,3,17,20,Evening,Hot,Misty/Cloudy
5846,2011-09-06,Fall,2011,September,0,0,2,1,Light Snow/Rain,0.54,0.5152,0.94,0.3582,1,7,8,Morning,Mild,Light Snow/Rain
5847,2011-09-06,Fall,2011,September,2,0,2,1,Light Snow/Rain,0.54,0.5152,0.94,0.2537,0,2,2,Morning,Mild,Light Snow/Rain
5848,2011-09-06,Fall,2011,September,3,0,2,1,Light Snow/Rain,0.54,0.5152,0.94,0.2985,1,0,1,Morning,Mild,Light Snow/Rain
5849,2011-09-06,Fall,2011,September,4,0,2,1,Misty/Cloudy,0.54,0.5152,0.94,0.2985,1,3,4,Morning,Mild,Light Snow/Rain
5850,2011-09-06,Fall,2011,September,5,0,2,1,Light Snow/Rain,0.54,0.5152,0.88,0.3582,1,20,21,Morning,Mild,Light Snow/Rain
5851,2011-09-06,Fall,2011,September,6,0,2,1,Misty/Cloudy,0.54,0.5152,0.88,0.3284,0,72,72,Morning,Mild,Light Snow/Rain
5852,2011-09-06,Fall,2011,September,7,0,2,1,Misty/Cloudy,0.54,0.5152,0.83,0.3582,6,166,172,Morning,Mild,Light Snow/Rain
5853,2011-09-06,Fall,2011,September,8,0,2,1,Light Snow/Rain,0.54,0.5152,0.83,0.3881,15,349,364,Morning,Mild,Light Snow/Rain
5854,2011-09-06,Fall,2011,September,9,0,2,1,Misty/Cloudy,0.54,0.5152,0.81,0.4179,18,167,185,Morning,Mild,Light Snow/Rain
5855,2011-09-06,Fall,2011,September,10,0,2,1,Light Snow/Rain,0.54,0.5152,0.83,0.3582,16,90,106,Morning,Mild,Light Snow/Rain
5856,2011-09-06,Fall,2011,September,11,0,2,1,Light Snow/Rain,0.54,0.5152,0.83,0.3881,11,78,89,Morning,Mild,Light Snow/Rain
5857,2011-09-06,Fall,2011,September,12,0,2,1,Light Snow/Rain,0.54,0.5152,0.83,0.3881,16,51,67,Afternoon,Mild,Light Snow/Rain
5858,2011-09-06,Fall,2011,September,13,0,2,1,Light Snow/Rain,0.54,0.5152,0.88,0.2985,5,24,29,Afternoon,Mild,Light Snow/Rain
5859,2011-09-06,Fall,2011,September,14,0,2,1,Light Snow/Rain,0.54,0.5152,0.88,0.2836,3,21,24,Afternoon,Mild,Light Snow/Rain
5860,2011-09-06,Fall,2011,September,15,0,2,1,Light Snow/Rain,0.54,0.5152,0.94,0.3881,18,71,89,Afternoon,Mild,Light Snow/Rain
5861,2011-09-06,Fall,2011,September,16,0,2,1,Light Snow/Rain,0.54,0.5152,0.94,0.3881,11,95,106,Afternoon,Mild,Light Snow/Rain
5862,2011-09-06,Fall,2011,September,17,0,2,1,Misty/Cloudy,0.54,0.5152,0.88,0.3881,15,276,291,Evening,Mild,Light Snow/Rain
5863,2011-09-06,Fall,2011,September,18,0,2,1,Misty/Cloudy,0.54,0.5152,0.88,0.3881,22,351,373,Evening,Mild,Light Snow/Rain
5864,2011-09-06,Fall,2011,September,19,0,2,1,Misty/Cloudy,0.54,0.5152,0.88,0.4179,12,269,281,Evening,Mild,Light Snow/Rain
5865,2011-09-06,Fall,2011,September,20,0,2,1,Light Snow/Rain,0.54,0.5152,0.88,0.2985,13,150,163,Evening,Mild,Light Snow/Rain
5866,2011-09-06,Fall,2011,September,21,0,2,1,Light Snow/Rain,0.54,0.5152,0.88,0.2836,12,109,121,Evening,Mild,Light Snow/Rain
5867,2011-09-06,Fall,2011,September,22,0,2,1,Misty/Cloudy,0.54,0.5152,0.94,0.3284,5,79,84,Evening,Mild,Light Snow/Rain
5868,2011-09-06,Fall,2011,September,23,0,2,1,Light Snow/Rain,0.54,0.5152,0.94,0.2537,2,56,58,Evening,Mild,Light Snow/Rain
5869,2011-09-07,Fall,2011,September,0,0,3,1,Misty/Cloudy,0.54,0.5152,0.94,0.2239,1,12,13,Morning,Mild,Light Snow/Rain
5870,2011-09-07,Fall,2011,September,1,0,3,1,Light Snow/Rain,0.54,0.5152,0.94,0.2537,2,3,5,Morning,Mild,Light Snow/Rain
5871,2011-09-07,Fall,2011,September,2,0,3,1,Misty/Cloudy,0.54,0.5152,0.94,0.2239,2,4,6,Morning,Mild,Light Snow/Rain
5872,2011-09-07,Fall,2011,September,3,0,3,1,Light Snow/Rain,0.56,0.5303,0.94,0.1343,1,1,2,Morning,Mild,Light Snow/Rain
5873,2011-09-07,Fall,2011,September,4,0,3,1,Light Snow/Rain,0.56,0.5303,0.94,0.1642,0,4,4,Morning,Mild,Light Snow/Rain
5874,2011-09-07,Fall,2011,September,5,0,3,1,Misty/Cloudy,0.56,0.5303,1.0,0.1343,1,15,16,Morning,Mild,Light Snow/Rain
5875,2011-09-07,Fall,2011,September,6,0,3,1,Light Snow/Rain,0.6,0.5455,0.88,0.1045,1,74,75,Morning,Mild,Light Snow/Rain
5876,2011-09-07,Fall,2011,September,7,0,3,1,Light Snow/Rain,0.6,0.5455,0.88,0.0896,3,83,86,Morning,Mild,Light Snow/Rain
5877,2011-09-07,Fall,2011,September,8,0,3,1,Light Snow/Rain,0.62,0.5455,0.94,0.0896,9,319,328,Morning,Mild,Light Snow/Rain
5878,2011-09-07,Fall,2011,September,9,0,3,1,Light Snow/Rain,0.6,0.5455,0.88,0.1343,14,176,190,Morning,Mild,Light Snow/Rain
5879,2011-09-07,Fall,2011,September,10,0,3,1,Light Snow/Rain,0.6,0.5455,0.88,0.1343,3,63,66,Morning,Mild,Light Snow/Rain
5880,2011-09-07,Fall,2011,September,11,0,3,1,Light Snow/Rain,0.6,0.5152,0.94,0.0,1,9,10,Morning,Mild,Light Snow/Rain
5881,2011-09-07,Fall,2011,September,12,0,3,1,Light Snow/Rain,0.56,0.5303,0.94,0.0,1,21,22,Afternoon,Mild,Light Snow/Rain
5882,2011-09-07,Fall,2011,September,13,0,3,1,Light Snow/Rain,0.6,0.5455,0.88,0.0,2,9,11,Afternoon,Mild,Light Snow/Rain
5883,2011-09-07,Fall,2011,September,14,0,3,1,Light Snow/Rain,0.6,0.5152,0.93,0.0,1,24,25,Afternoon,Mild,Light Snow/Rain
5884,2011-09-07,Fall,2011,September,15,0,3,1,Light Snow/Rain,0.62,0.5455,0.94,0.1045,3,55,58,Afternoon,Mild,Light Snow/Rain
5885,2011-09-07,Fall,2011,September,16,0,3,1,Clear/Partly Cloudy,0.64,0.5758,0.89,0.0,7,137,144,Afternoon,Mild,Light Snow/Rain
5886,2011-09-07,Fall,2011,September,17,0,3,1,Light Snow/Rain,0.64,0.5758,0.89,0.0,21,264,285,Evening,Mild,Light Snow/Rain
5887,2011-09-07,Fall,2011,September,18,0,3,1,Light Snow/Rain,0.64,0.5758,0.89,0.0,18,219,237,Evening,Mild,Light Snow/Rain
